City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,komsomolskiy,40.4272,71.7189,39.92,87,100,6.91,UZ,1675540404
151,norman wells,65.282,-126.8329,-16.56,63,75,2.3,CA,1675540405
152,barra patuca,15.8,-84.2833,80.67,64,24,8.68,HN,1675540406
153,boende,-0.2167,20.8667,82.63,47,100,6.13,CD,1675540413
154,riverton,40.5219,-111.9391,46.17,52,0,13.0,US,1675540414
155,paamiut,61.994,-49.6678,16.25,75,100,11.39,GL,1675540414
156,constitucion,-35.3333,-72.4167,68.27,74,43,7.47,CL,1675540125
157,ormara,25.2088,64.6357,70.93,81,0,9.73,PK,1675540415
158,prince albert,53.2001,-105.7677,21.15,79,100,3.44,CA,1675540415
159,dicamay,16.7561,122.0037,65.37,94,57,2.04,PH,1675540416
160,trairi,-3.2778,-39.2689,82.02,73,64,11.32,BR,1675540139
161,barillas,15.8036,-91.3158,58.26,97,99,2.64,GT,1675540416
162,puro,12.4841,123.3827,76.5,88,71,11.63,PH,1675540417
163,honningsvag,70.9821,25.9704,26.35,68,47,16.11,NO,1675540417
164,chardara,41.2547,67.9692,38.5,97,100,7.94,KZ,1675540418
165,kinablangan,7.6947,126.5503,77.27,80,100,1.92,PH,1675540418
166,tiarei,-17.5333,-149.3333,86.02,77,29,15.93,PF,1675540418
167,mackay,-21.15,149.2,78.67,85,100,4.45,AU,1675540419
168,la asuncion,11.0333,-63.8628,79.68,72,1,20.31,VE,1675540419
169,pavlovka,52.6897,47.1405,12.09,98,100,4.97,RU,1675540420
170,nyurba,63.2842,118.3319,-52.22,100,100,1.74,RU,1675540420
171,osypenko,46.9136,36.8253,31.24,78,91,5.99,UA,1675540421
172,aitape,-3.1374,142.3475,76.68,89,100,4.07,PG,1675540421
173,muros,42.7762,-9.0603,50.85,77,1,9.44,ES,1675540422
174,teknaf,20.8624,92.3058,62.4,60,41,9.55,BD,1675540422
175,juli,-16.2167,-69.45,41.58,88,99,5.68,PE,1675540423
176,yarada,17.65,83.2667,64.72,88,3,2.3,IN,1675540423
177,esso,55.9333,158.7,-4.34,98,66,4.36,RU,1675540424
178,kilkenny,52.6542,-7.2522,46.47,86,79,4.0,IE,1675540424
179,barmer,25.75,71.3833,64.29,23,0,4.92,IN,1675540424
180,kharp,66.8014,65.8081,8.17,89,89,9.1,RU,1675540425
181,namatanai,-3.6667,152.4333,78.76,82,100,2.8,PG,1675540425
182,tiksi,71.6872,128.8694,-13.52,100,100,4.68,RU,1675540425
183,ribeira grande,38.5167,-28.7,62.78,88,20,11.01,PT,1675540426
184,chuy,-33.6971,-53.4616,75.56,57,1,16.53,UY,1675540426
185,bharatpur,27.2167,77.4833,59.52,42,0,6.58,IN,1675540427
186,sao geraldo do araguaia,-6.4006,-48.555,83.44,86,60,0.2,BR,1675540427
187,ulaanbaatar,47.9077,106.8832,-12.87,70,34,2.24,MN,1675540428
188,kodiak,57.79,-152.4072,20.71,93,0,5.75,US,1675540428
189,ancud,-41.8697,-73.8203,69.82,65,43,4.94,CL,1675540428
190,krasnoselkup,65.7,82.4667,6.84,97,100,8.12,RU,1675540429
191,storsteinnes,69.2408,19.2344,31.37,89,100,6.62,NO,1675540429
192,san patricio,28.017,-97.5169,69.67,52,61,9.69,US,1675540430
193,marsh harbour,26.5412,-77.0636,70.52,77,99,27.94,BS,1675540430
194,torbay,47.6666,-52.7314,9.57,78,100,32.21,CA,1675540431
195,bathsheba,13.2167,-59.5167,79.54,75,11,20.71,BB,1675540431
196,kavieng,-2.5744,150.7967,81.3,73,97,4.47,PG,1675540432
197,noumea,-22.2763,166.4572,84.99,99,53,12.3,NC,1675540432
198,kologriv,58.8275,44.3178,18.36,97,98,3.42,RU,1675540432
199,hailin,44.5833,129.4167,-0.58,98,100,1.92,CN,1675540433
200,antofagasta,-23.65,-70.4,76.28,66,1,7.56,CL,1675540342
201,hearst,49.6835,-83.6665,12.45,85,100,11.12,CA,1675540433
202,carutapera,-1.195,-46.02,77.97,92,100,9.33,BR,1675540434
203,rio grande,-32.035,-52.0986,87.91,57,0,16.84,BR,1675540326
204,vestmannaeyjar,63.4427,-20.2734,40.21,64,100,25.08,IS,1675540434
205,phan thiet,10.9333,108.1,70.66,87,24,8.3,VN,1675540434
206,faya,18.3851,42.4509,53.71,66,86,2.75,SA,1675540435
207,leesburg,39.1157,-77.5636,33.1,35,0,14.97,US,1675540185
208,aksarka,66.5606,67.7975,9.68,97,97,5.73,RU,1675540435
209,henties bay,-22.116,14.2845,64.45,86,100,7.76,NA,1675540436
210,pleasanton,37.6624,-121.8747,63.77,75,40,8.05,US,1675540200
211,honiara,-9.4333,159.95,79.11,86,99,2.82,SB,1675540436
212,castro,-24.7911,-50.0119,70.74,85,60,9.22,BR,1675540437
213,atambua,-9.1061,124.8925,72.54,91,100,2.17,ID,1675540437
214,calvinia,-31.4707,19.776,70.23,44,0,6.85,ZA,1675540438
215,namtsy,62.7161,129.6658,-28.53,100,100,2.13,RU,1675540438
216,lavrentiya,65.5833,-171.0,-13.63,95,96,6.98,RU,1675540439
217,tessalit,20.1986,1.0114,63.46,14,65,10.69,ML,1675540439
218,iqaluit,63.7506,-68.5145,-31.27,66,20,19.57,CA,1675540439
219,komatipoort,-25.4332,31.9548,70.16,89,4,4.56,ZA,1675540440
220,lorengau,-2.0226,147.2712,80.87,73,100,4.18,PG,1675540440
221,salalah,17.0151,54.0924,73.49,73,20,1.14,OM,1675540441
222,xingyi,24.1877,102.817,47.53,92,74,4.52,CN,1675540441
223,myitkyina,25.3833,97.4,60.01,54,0,2.82,MM,1675540442
224,morondava,-20.2833,44.2833,81.07,79,0,7.43,MG,1675540442
225,santa rosa,14.3122,121.1114,75.18,83,95,7.58,PH,1675540443
226,gillette,44.2911,-105.5022,43.72,39,0,10.36,US,1675540381
227,turan,16.0678,108.2208,75.18,88,75,3.44,VN,1675540443
228,itoman,26.1247,127.6694,62.62,82,100,9.22,JP,1675540444
229,tornio,65.8481,24.1466,3.22,97,100,1.34,FI,1675540444
230,provideniya,64.3833,-173.3,-3.8,89,100,10.63,RU,1675540445
231,coquimbo,-29.9533,-71.3436,73.13,64,40,10.36,CL,1675540445
232,maniitsoq,65.4167,-52.9,0.73,82,7,15.99,GL,1675540446
233,avarua,-21.2078,-159.775,82.45,83,40,14.97,CK,1675540260
234,kemijarvi,66.7131,27.4306,3.54,96,100,4.45,FI,1675540446
235,ibiruba,-28.6275,-53.0897,78.6,47,95,5.1,BR,1675540447
236,port elizabeth,-33.918,25.5701,76.32,85,0,4.61,ZA,1675540447
237,westport,41.1415,-73.3579,20.17,31,75,5.75,US,1675540447
238,kamyaran,34.7956,46.9355,19.15,83,52,3.24,IR,1675540448
239,trzebiatow,54.0615,15.2648,31.3,65,73,8.97,PL,1675540448
240,liberty,31.8335,-81.5004,59.27,58,0,12.66,US,1675540449
241,metro,-5.1131,105.3067,75.6,88,100,0.89,ID,1675540449
242,port hedland,-20.3167,118.5667,78.85,78,21,10.36,AU,1675540450
243,bahir dar,11.5936,37.3908,68.29,39,37,5.88,ET,1675540450
244,katsuura,35.1333,140.3,44.49,70,4,11.77,JP,1675540450
245,presidencia roque saenz pena,-26.7852,-60.4388,95.05,20,53,10.25,AR,1675540451
246,dickinson,29.4608,-95.0513,65.16,67,0,6.91,US,1675540451
247,balykshi,47.0667,51.8667,14.0,92,40,6.71,KZ,1675540452
248,buenos aires,-34.6132,-58.3772,84.99,32,0,8.05,AR,1675540452
249,viedma,-40.8135,-62.9967,92.53,24,0,20.29,AR,1675540453
250,idritsa,56.3316,28.8988,20.43,94,100,8.5,RU,1675540453
251,lavumisa,-27.31,31.892,68.65,96,13,3.69,SZ,1675540454
252,carira,-10.3608,-37.7011,88.29,37,18,18.12,BR,1675540454
253,talnakh,69.4865,88.3972,13.21,96,100,6.08,RU,1675540454
254,cayenne,4.9333,-52.3333,75.24,100,75,1.14,GF,1675540297
255,khandyga,62.6667,135.6,-45.11,99,91,1.3,RU,1675540455
256,rawson,-43.3002,-65.1023,91.06,26,21,12.28,AR,1675540204
257,tacuarembo,-31.7333,-55.9833,84.25,23,0,16.49,UY,1675540455
258,charagua,-19.8,-63.2167,83.77,51,99,2.51,BO,1675540456
259,panzhihua,26.5851,101.7128,47.98,44,0,2.24,CN,1675540456
260,luganville,-15.5333,167.1667,81.32,85,100,8.63,VU,1675540457
261,vila do maio,15.1333,-23.2167,74.19,62,81,18.07,CV,1675540457
262,eston,51.1501,-108.7514,27.91,89,96,5.14,CA,1675540457
263,ternate,0.8,127.4,78.73,79,100,7.9,ID,1675540458
264,praia,14.9215,-23.5087,73.94,49,66,23.02,CV,1675540458
265,ponta do sol,32.6667,-17.1,63.23,60,23,9.82,PT,1675540458
266,geraldton,-28.7667,114.6,72.01,88,100,4.61,AU,1675540459
267,bambous virieux,-20.3428,57.7575,79.21,83,40,5.75,MU,1675540459
268,voyvozh,62.892,54.9635,-5.01,100,100,2.51,RU,1675540460
269,ovalle,-30.5983,-71.2003,82.49,45,0,10.63,CL,1675540460
